Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000014956	Ppp1cb	-0.18	7.01	0.54	1.00
ENSMUSG00000014932	Yes1	-0.08	2.84	0.93	1.00
ENSMUSG00000082305	Gm2420	-3.87	-2.51	0.55	1.00
ENSMUSG00000023452	Pisd	0.25	5.00	0.46	1.00
ENSMUSG00000054280	Prr14l	-0.05	4.35	0.99	1.00
ENSMUSG00000106654	Gm2623	-0.22	-2.80	1.00	1.00
ENSMUSG00000037426	Depdc5	-0.34	4.16	0.21	0.76
ENSMUSG00000018965	Ywhah	-0.15	9.43	0.61	1.00
ENSMUSG00000093885	Rpl35a-ps5	0.08	7.65	0.86	1.00
ENSMUSG00000011034	Slc5a1	0.69	1.42	0.15	0.62
ENSMUSG00000081022	Gm15936	-1.74	-2.88	1.00	1.00
ENSMUSG00000081618	5033423K11Rik	3.57	-2.52	0.18	0.68
ENSMUSG00000037379	Spon2	2.01	-1.31	0.29	0.90
ENSMUSG00000037373	Ctbp1	-0.16	7.43	0.56	1.00
ENSMUSG00000079562	Maea	-0.18	6.48	0.61	1.00
ENSMUSG00000037355	Uvssa	0.37	4.92	0.21	0.75
ENSMUSG00000037339	Fam53a	0.47	4.19	0.06	0.34
ENSMUSG00000097271	Gm9903	1.71	-2.51	0.76	1.00
ENSMUSG00000004642	Slbp	0.00	2.78	1.00	1.00
ENSMUSG00000019295	Tmem129	-0.18	3.36	0.71	1.00
ENSMUSG00000037313	Tacc3	1.27	3.38	0.00	0.00
ENSMUSG00000054252	Fgfr3	0.03	6.03	1.00	1.00
ENSMUSG00000005299	Letm1	-0.20	6.93	0.45	1.00
ENSMUSG00000059064	Gm10059	0.26	5.27	0.45	1.00
ENSMUSG00000057406	Nsd2	-0.28	6.76	0.22	0.77
ENSMUSG00000029111	Nelfa	0.43	5.12	0.08	0.42
ENSMUSG00000107043	Gm42849	-3.83	-1.82	0.35	0.99
ENSMUSG00000106688	Gm42851	1.47	1.98	0.00	0.00
ENSMUSG00000070858	Gm1673	-0.51	6.50	0.01	0.10
ENSMUSG00000048142	Nat8l	-0.49	7.40	0.04	0.23
ENSMUSG00000045102	Poln	1.03	-0.30	0.44	1.00
ENSMUSG00000106868	Gm19798	2.24	-2.80	0.84	1.00
ENSMUSG00000079555	Haus3	0.28	3.48	0.54	1.00
ENSMUSG00000037235	Mxd4	0.04	7.21	1.00	1.00
ENSMUSG00000037224	Zfyve28	-0.45	4.57	0.07	0.36
ENSMUSG00000086291	Gm15513	-0.29	3.39	0.61	1.00
ENSMUSG00000109572	Cfap99	1.67	-2.18	0.70	1.00
ENSMUSG00000107287	Gm43458	-2.48	-2.80	0.88	1.00
ENSMUSG00000029110	Rnf4	0.49	5.34	0.04	0.27
ENSMUSG00000037210	Fam193a	-0.02	5.90	1.00	1.00
ENSMUSG00000059866	Tnip2	1.12	3.01	0.00	0.00
ENSMUSG00000054520	Sh3bp2	2.56	3.96	0.00	0.00
ENSMUSG00000029106	Add1	-0.20	7.23	0.41	1.00
ENSMUSG00000001082	Mfsd10	0.69	3.74	0.06	0.35
ENSMUSG00000036693	Nop14	0.28	5.02	0.38	1.00
ENSMUSG00000052783	Grk4	-0.34	2.73	0.32	0.95
ENSMUSG00000029104	Htt	-0.08	6.28	0.88	1.00
ENSMUSG00000051246	Msantd1	-0.38	0.75	0.70	1.00
ENSMUSG00000029101	Rgs12	0.06	5.20	0.98	1.00
ENSMUSG00000029102	Hgfac	2.59	-2.73	0.84	1.00
ENSMUSG00000044716	Dok7	0.17	4.71	0.67	1.00
ENSMUSG00000029103	Lrpap1	0.14	6.77	0.62	1.00
ENSMUSG00000045318	Adra2c	-0.60	3.94	0.02	0.15
ENSMUSG00000106762	4930478P22Rik	-1.72	-2.88	1.00	1.00
ENSMUSG00000067438	Hmx1	-1.73	-2.88	1.00	1.00
ENSMUSG00000036596	Cpz	-0.56	-2.02	0.93	1.00
ENSMUSG00000029097	Trmt44	0.16	1.25	0.87	1.00
ENSMUSG00000029098	Acox3	0.20	4.30	0.56	1.00
ENSMUSG00000029096	Htra3	0.44	2.36	0.27	0.87
ENSMUSG00000036553	Sh3tc1	1.81	1.23	0.00	0.00
ENSMUSG00000029095	Ablim2	-0.23	6.42	0.42	1.00
ENSMUSG00000029094	Afap1	0.06	4.12	0.98	1.00
ENSMUSG00000029093	Sorcs2	-0.14	4.44	0.77	1.00
ENSMUSG00000043430	Psapl1	-1.08	-2.73	1.00	1.00
ENSMUSG00000039563	2210406O10Rik	-0.46	1.70	0.37	1.00
ENSMUSG00000029198	Grpel1	-0.08	5.76	0.88	1.00
ENSMUSG00000029196	Tada2b	0.71	4.34	0.01	0.11
ENSMUSG00000050677	Ccdc96	0.19	1.23	0.88	1.00
ENSMUSG00000029192	Tbc1d14	0.04	4.70	1.00	1.00
ENSMUSG00000029190	D5Ertd579e	-0.02	6.39	1.00	1.00
ENSMUSG00000060708	Bloc1s4	0.24	4.69	0.44	1.00
ENSMUSG00000055302	Mrfap1	0.01	8.19	1.00	1.00
ENSMUSG00000029119	Man2b2	0.72	1.99	0.07	0.36
ENSMUSG00000029120	Ppp2r2c	-0.27	8.65	0.42	1.00
ENSMUSG00000039474	Wfs1	0.68	5.54	0.00	0.03
ENSMUSG00000063646	Jakmip1	-0.46	6.02	0.06	0.34
ENSMUSG00000070823	Gm1043	-0.74	1.46	0.06	0.31
ENSMUSG00000029121	Crmp1	-0.37	6.20	0.09	0.46
ENSMUSG00000029122	Evc	-0.40	2.12	0.56	1.00
ENSMUSG00000050248	Evc2	-0.30	2.69	0.49	1.00
ENSMUSG00000029123	Stk32b	-0.92	1.83	0.01	0.11
ENSMUSG00000062329	Cytl1	0.86	-0.51	0.34	0.97
ENSMUSG00000048450	Msx1	-0.83	3.23	0.00	0.01
ENSMUSG00000106718	Gm20052	2.01	-2.81	1.00	1.00
ENSMUSG00000029125	Stx18	0.09	4.24	0.88	1.00
ENSMUSG00000029126	Nsg1	0.35	8.47	0.77	1.00
ENSMUSG00000029127	Zbtb49	0.24	0.68	0.85	1.00
ENSMUSG00000067367	Lyar	0.18	4.65	0.62	1.00
ENSMUSG00000067365	Tmem128	0.91	5.02	0.00	0.00
ENSMUSG00000051596	Otop1	2.31	-2.33	0.42	1.00
ENSMUSG00000039358	Drd5	-0.69	1.88	0.06	0.35
ENSMUSG00000005107	Slc2a9	1.69	1.71	0.00	0.00
ENSMUSG00000005103	Wdr1	0.42	6.71	0.04	0.25
ENSMUSG00000046572	Zfp518b	-0.32	3.86	0.28	0.88
ENSMUSG00000039315	Clnk	1.41	-0.97	0.21	0.75
ENSMUSG00000106924	Gm42857	1.39	-2.89	1.00	1.00
ENSMUSG00000106876	Gm43456	0.70	-2.46	1.00	1.00
ENSMUSG00000107030	Gm5291	-1.72	-2.88	1.00	1.00
ENSMUSG00000106679	Gm42524	4.05	-2.39	0.22	0.76
ENSMUSG00000106741	4930513D17Rik	4.10	-2.33	0.07	0.35
ENSMUSG00000051022	Hs3st1	-0.05	3.97	1.00	1.00
ENSMUSG00000083261	Gm7816	-0.16	2.13	0.87	1.00
ENSMUSG00000082938	Gm2810	-0.21	5.69	0.47	1.00
ENSMUSG00000106895	Gm4754	0.01	6.04	1.00	1.00
ENSMUSG00000029128	Rab28	0.09	5.97	0.87	1.00
ENSMUSG00000061755	Bod1l	-0.32	7.42	0.24	0.81
ENSMUSG00000107259	Gm5298	-1.92	-2.11	0.17	0.66
ENSMUSG00000106884	Gm20156	-0.17	-2.80	1.00	1.00
ENSMUSG00000067285	Gm16223	-1.25	-1.07	0.26	0.84
ENSMUSG00000106813	Gm7181	0.52	-2.72	1.00	1.00
ENSMUSG00000106622	Gm5554	1.39	-2.89	1.00	1.00
ENSMUSG00000106501	Gm42711	0.39	-0.64	0.77	1.00
ENSMUSG00000039782	Cpeb2	0.12	5.78	0.78	1.00
ENSMUSG00000107244	Gm43699	-1.12	-2.73	1.00	1.00
ENSMUSG00000061535	C1qtnf7	-0.26	-0.67	0.93	1.00
ENSMUSG00000039765	Cc2d2a	-0.58	5.23	0.03	0.18
ENSMUSG00000039753	Fbxl5	0.31	5.99	0.21	0.76
ENSMUSG00000104701	Gm42555	0.47	-2.52	1.00	1.00
ENSMUSG00000029082	Bst1	3.86	1.88	0.00	0.00
ENSMUSG00000029084	Cd38	1.10	3.13	0.00	0.01
ENSMUSG00000086479	Gm16014	1.71	-0.96	0.16	0.65
ENSMUSG00000033036	Gm7879	-0.03	-0.44	1.00	1.00
ENSMUSG00000048373	Fgfbp1	0.78	1.38	0.09	0.44
ENSMUSG00000029086	Prom1	0.15	4.30	0.80	1.00
ENSMUSG00000105264	Gm42716	0.27	-1.08	0.93	1.00
ENSMUSG00000046985	Tapt1	0.58	6.03	0.01	0.10
ENSMUSG00000104923	Gm5865	-0.28	4.58	0.38	1.00
ENSMUSG00000104800	Gm42985	1.51	-2.89	1.00	1.00
ENSMUSG00000039706	Ldb2	-0.87	4.35	0.02	0.15
ENSMUSG00000105224	Gm3364	-0.64	1.70	0.17	0.66
ENSMUSG00000029092	D5Ertd615e	3.00	-2.03	0.15	0.61
ENSMUSG00000104781	Gm43303	2.31	-2.80	0.88	1.00
ENSMUSG00000015806	Qdpr	-0.92	8.24	0.00	0.00
ENSMUSG00000049530	Clrn2	-1.69	-2.89	1.00	1.00
ENSMUSG00000039682	Lap3	1.20	5.87	0.00	0.00
ENSMUSG00000015804	Med28	0.28	6.37	0.28	0.89
ENSMUSG00000015879	Fam184b	-0.58	2.77	0.06	0.34
ENSMUSG00000015880	Ncapg	1.20	1.11	0.05	0.27
ENSMUSG00000015882	Lcorl	0.31	4.92	0.27	0.87
ENSMUSG00000101587	Gm29036	0.34	-1.77	1.00	1.00
ENSMUSG00000067321	Gm7931	0.88	1.29	0.06	0.31
ENSMUSG00000105616	Gm3010	-2.99	-2.72	0.65	1.00
ENSMUSG00000031558	Slit2	-0.69	4.30	0.00	0.02
ENSMUSG00000029089	5730480H06Rik	-0.23	3.43	0.57	1.00
ENSMUSG00000029088	Kcnip4	-0.41	5.60	0.07	0.36
ENSMUSG00000093748	Gm19031	-1.69	-2.89	1.00	1.00
ENSMUSG00000103544	Gm10048	1.53	-2.89	1.00	1.00
ENSMUSG00000093490	Gm19932	-3.87	-2.51	0.55	1.00
ENSMUSG00000083477	Gm5555	-0.29	-1.18	0.94	1.00
ENSMUSG00000029090	Adgra3	-0.30	3.16	0.47	1.00
ENSMUSG00000105020	Gm7205	3.14	-2.65	0.71	1.00
ENSMUSG00000105423	Gm36814	0.59	-2.72	1.00	1.00
ENSMUSG00000106038	Gm4962	-0.16	-1.10	1.00	1.00
ENSMUSG00000105273	Gm43015	-1.72	-2.88	1.00	1.00
ENSMUSG00000106267	Gm40319	-0.20	-2.80	1.00	1.00
ENSMUSG00000029167	Ppargc1a	0.16	6.19	0.59	1.00
ENSMUSG00000104847	Gm43177	1.50	-2.03	0.29	0.90
ENSMUSG00000029169	Dhx15	0.36	6.35	0.19	0.71
ENSMUSG00000097145	9230114K14Rik	-0.83	3.27	0.01	0.07
ENSMUSG00000106464	C130083M11Rik	1.29	-2.58	0.83	1.00
ENSMUSG00000072941	Sod3	0.49	4.09	0.20	0.73
ENSMUSG00000045790	Ccdc149	-0.36	4.43	0.20	0.73
ENSMUSG00000039252	Lgi2	-0.18	5.97	0.56	1.00
ENSMUSG00000052295	8030423F21Rik	-0.52	-1.70	0.93	1.00
ENSMUSG00000029173	Sepsecs	0.40	2.90	0.22	0.77
ENSMUSG00000029186	Pi4k2b	1.48	1.28	0.00	0.04
ENSMUSG00000029179	Zcchc4	0.16	5.01	0.67	1.00
ENSMUSG00000029176	Anapc4	-0.26	6.41	0.27	0.87
ENSMUSG00000029188	Slc34a2	-0.42	-1.73	0.96	1.00
ENSMUSG00000029189	Sel1l3	-0.36	5.80	0.15	0.61
ENSMUSG00000061461	Smim20	0.30	4.52	0.30	0.91
ENSMUSG00000106981	Gm45495	-0.59	3.48	0.02	0.16
ENSMUSG00000039191	Rbpj	0.60	4.97	0.01	0.06
ENSMUSG00000029193	Cckar	0.35	-0.16	0.79	1.00
ENSMUSG00000039178	Tbc1d19	-0.08	4.04	0.91	1.00
ENSMUSG00000039156	Stim2	-0.23	6.28	0.39	1.00
ENSMUSG00000105912	Gm10440	0.10	-1.58	1.00	1.00
ENSMUSG00000105143	Gm8069	0.34	-1.94	1.00	1.00
ENSMUSG00000083902	Gm15975	1.14	0.67	0.18	0.69
ENSMUSG00000106335	Gm20223	-0.14	-1.19	1.00	1.00
ENSMUSG00000106326	Gm42977	0.85	1.01	0.31	0.94
ENSMUSG00000104560	Gm8115	1.12	-1.54	0.53	1.00
ENSMUSG00000104892	Gm6615	-0.69	-1.09	0.73	1.00
ENSMUSG00000097216	4932441J04Rik	-0.88	1.96	0.02	0.13
ENSMUSG00000051116	Gm8121	0.28	1.08	0.70	1.00
ENSMUSG00000029108	Pcdh7	-0.32	6.48	0.19	0.71
ENSMUSG00000104564	Gm17977	2.28	-2.80	0.88	1.00
ENSMUSG00000105269	Gm42999	1.39	-2.89	1.00	1.00
ENSMUSG00000106509	Gm43394	-1.69	-2.89	1.00	1.00
ENSMUSG00000089992	G6pd2	1.34	2.15	0.00	0.00
ENSMUSG00000106530	Gm42430	2.01	-2.81	1.00	1.00
ENSMUSG00000037999	Arap2	-0.13	7.00	0.69	1.00
ENSMUSG00000090326	Dthd1	0.43	-1.72	0.95	1.00
ENSMUSG00000090061	Nwd2	-0.97	5.47	0.00	0.01
ENSMUSG00000090138	Gm3687	-0.38	-1.12	0.95	1.00
ENSMUSG00000060512	0610040J01Rik	-0.17	2.21	0.84	1.00
ENSMUSG00000047881	Rell1	0.41	5.23	0.08	0.39
ENSMUSG00000106219	5830416I19Rik	0.02	1.15	1.00	1.00
ENSMUSG00000029171	Pgm1	0.73	3.05	0.03	0.18
ENSMUSG00000029174	Tbc1d1	0.77	4.28	0.00	0.01
ENSMUSG00000083435	Gm15824	1.00	0.66	0.11	0.49
ENSMUSG00000083100	Gm6044	-1.44	-2.65	0.93	1.00
ENSMUSG00000105105	Gm31363	2.01	-2.81	1.00	1.00
ENSMUSG00000105352	C030018K13Rik	-1.89	-1.33	0.08	0.40
ENSMUSG00000105402	Gm3716	-0.47	-0.87	0.80	1.00
ENSMUSG00000097668	Gm26761	-0.60	-0.93	0.66	1.00
ENSMUSG00000097640	Gm20033	-0.04	1.53	1.00	1.00
ENSMUSG00000029178	Klf3	0.44	4.66	0.17	0.66
ENSMUSG00000044827	Tlr1	2.87	1.16	0.00	0.00
ENSMUSG00000051498	Tlr6	1.91	0.51	0.00	0.02
ENSMUSG00000029185	Fam114a1	0.12	2.39	0.90	1.00
ENSMUSG00000037913	Tmem156	0.56	-0.26	0.58	1.00
ENSMUSG00000054920	Klhl5	-0.11	4.62	0.85	1.00
ENSMUSG00000037890	Wdr19	-0.02	3.82	1.00	1.00
ENSMUSG00000029191	Rfc1	-0.04	6.29	1.00	1.00
ENSMUSG00000029195	Klb	-2.29	-1.96	0.11	0.51
ENSMUSG00000047215	Rpl9	0.07	3.10	0.99	1.00
ENSMUSG00000029199	Lias	0.01	6.38	1.00	1.00
ENSMUSG00000029201	Ugdh	0.17	4.57	0.70	1.00
ENSMUSG00000037822	Smim14	0.03	7.26	1.00	1.00
ENSMUSG00000029203	Ube2k	0.08	7.67	0.87	1.00
ENSMUSG00000029202	Pds5a	-0.20	5.42	0.52	1.00
ENSMUSG00000106978	N4bp2os	0.07	1.78	1.00	1.00
ENSMUSG00000037795	N4bp2	0.19	3.88	0.67	1.00
ENSMUSG00000029204	Rhoh	1.22	2.52	0.00	0.01
ENSMUSG00000029205	Chrna9	3.12	-2.65	0.56	1.00
ENSMUSG00000054598	9130230L23Rik	-0.88	-1.93	0.91	1.00
ENSMUSG00000070780	Rbm47	1.75	3.59	0.00	0.00
ENSMUSG00000107069	Gm43772	-0.22	-2.80	1.00	1.00
ENSMUSG00000084108	Gm15794	2.16	-2.81	0.84	1.00
ENSMUSG00000029206	Nsun7	-0.30	3.66	0.45	1.00
ENSMUSG00000029207	Apbb2	-0.12	6.87	0.77	1.00
ENSMUSG00000029223	Uchl1	-0.36	9.97	0.06	0.33
ENSMUSG00000037736	Limch1	-0.22	7.18	0.37	1.00
ENSMUSG00000082420	Gm6517	0.99	-1.49	0.54	1.00
ENSMUSG00000012520	Phox2b	0.15	0.20	0.98	1.00
ENSMUSG00000037720	Tmem33	0.16	6.02	0.62	1.00
ENSMUSG00000029221	Slc30a9	-0.34	6.25	0.18	0.68
ENSMUSG00000107266	Gm43698	-0.33	-1.80	1.00	1.00
ENSMUSG00000092060	Bend4	-0.50	2.15	0.19	0.70
ENSMUSG00000106925	Gm20072	0.64	-0.69	0.63	1.00
ENSMUSG00000050010	Shisa3	0.73	1.38	0.24	0.81
ENSMUSG00000037685	Atp8a1	0.25	7.27	0.27	0.87
ENSMUSG00000094719	Gm5108	1.70	-2.51	0.66	1.00
ENSMUSG00000107257	Gm43028	0.96	-1.90	0.70	1.00
ENSMUSG00000037653	Kctd8	0.14	3.21	0.84	1.00
ENSMUSG00000043484	Gm5867	0.02	0.64	1.00	1.00
ENSMUSG00000029158	Yipf7	0.82	-2.27	0.82	1.00
ENSMUSG00000029208	Guf1	-0.13	4.89	0.79	1.00
ENSMUSG00000029209	Gnpda2	-0.31	3.90	0.58	1.00
ENSMUSG00000001260	Gabrg1	0.02	4.28	1.00	1.00
ENSMUSG00000000560	Gabra2	-0.89	7.22	0.00	0.01
ENSMUSG00000049387	Cox7b2	-0.26	-0.54	1.00	1.00
ENSMUSG00000029211	Gabra4	-0.50	6.17	0.06	0.35
ENSMUSG00000029212	Gabrb1	-0.29	7.62	0.34	0.98
ENSMUSG00000080736	Gm15617	-2.48	-2.80	0.88	1.00
ENSMUSG00000082705	Gm15616	-1.74	-2.88	1.00	1.00
ENSMUSG00000029213	Commd8	0.28	5.52	0.34	0.98
ENSMUSG00000046808	Atp10d	1.36	1.92	0.00	0.03
ENSMUSG00000005220	Corin	-0.58	0.39	0.49	1.00
ENSMUSG00000072889	Nfxl1	0.51	3.52	0.12	0.52
ENSMUSG00000063935	Zar1	0.04	0.07	1.00	1.00
ENSMUSG00000060204	Gm5868	-0.52	-2.11	0.92	1.00
ENSMUSG00000067220	Cnga1	-1.09	-2.51	0.97	1.00
ENSMUSG00000105124	Gm5297	-0.15	4.39	0.78	1.00
ENSMUSG00000067219	Nipal1	3.96	-0.26	0.00	0.01
ENSMUSG00000054892	Txk	2.67	1.01	0.00	0.00
ENSMUSG00000029217	Tec	1.61	0.98	0.01	0.06
ENSMUSG00000036087	Slain2	0.19	4.89	0.54	1.00
ENSMUSG00000029219	Slc10a4	-0.69	2.64	0.03	0.18
ENSMUSG00000070733	Fryl	0.17	5.63	0.65	1.00
ENSMUSG00000107087	Gm34411	-2.52	-2.80	0.88	1.00
ENSMUSG00000100175	1700025M24Rik	1.52	-2.89	1.00	1.00
ENSMUSG00000029152	Ociad1	-0.10	8.63	0.77	1.00
ENSMUSG00000029153	Ociad2	-0.09	6.45	0.88	1.00
ENSMUSG00000107272	Gm42730	-0.09	2.11	1.00	1.00
ENSMUSG00000029154	Cwh43	-0.60	1.02	0.32	0.95
ENSMUSG00000051674	Dcun1d4	-0.33	5.52	0.21	0.75
ENSMUSG00000029156	Sgcb	0.54	5.44	0.01	0.09
ENSMUSG00000029155	Spata18	-1.54	-1.80	0.27	0.86
ENSMUSG00000106968	C78283	1.39	-2.89	1.00	1.00
ENSMUSG00000054814	Usp46	-0.53	6.60	0.01	0.07
ENSMUSG00000106943	Dancr	1.79	-1.87	0.45	1.00
ENSMUSG00000049907	Rasl11b	0.09	5.62	0.93	1.00
ENSMUSG00000062110	Scfd2	0.30	4.11	0.45	1.00
ENSMUSG00000084132	Gm15982	-2.49	-2.80	0.84	1.00
ENSMUSG00000029227	Fip1l1	-0.05	6.53	0.97	1.00
ENSMUSG00000029228	Lnx1	-0.20	3.59	0.96	1.00
ENSMUSG00000106987	Gm42575	-1.74	-2.88	1.00	1.00
ENSMUSG00000029229	Chic2	0.60	4.94	0.01	0.05
ENSMUSG00000035946	Gsx2	0.55	-2.22	0.98	1.00
ENSMUSG00000106900	Gm2040	0.15	0.48	1.00	1.00
ENSMUSG00000029231	Pdgfra	0.09	4.27	0.89	1.00
ENSMUSG00000107386	Gm42800	-0.70	-2.58	1.00	1.00
ENSMUSG00000005672	Kit	0.08	5.11	0.91	1.00
ENSMUSG00000107061	Gm19590	-0.69	-2.58	1.00	1.00
ENSMUSG00000062960	Kdr	0.24	4.48	0.47	1.00
ENSMUSG00000107020	Gm6051	-0.60	1.24	0.29	0.91
ENSMUSG00000029233	Srd5a3	0.42	4.36	0.12	0.53
ENSMUSG00000029234	Tmem165	0.47	4.09	0.15	0.62
ENSMUSG00000083152	Apc-ps1	0.58	-2.72	1.00	1.00
ENSMUSG00000029238	Clock	-0.15	7.15	0.61	1.00
ENSMUSG00000106831	Ube2n-ps1	1.19	-1.78	0.56	1.00
ENSMUSG00000087037	4930432L08Rik	-0.12	-2.11	1.00	1.00
ENSMUSG00000029236	Nmu	0.71	-1.73	0.87	1.00
ENSMUSG00000107160	Gm42666	0.06	4.38	0.99	1.00
ENSMUSG00000091204	Gm7271	-0.23	-2.65	1.00	1.00
ENSMUSG00000036435	Exoc1	-0.14	5.79	0.72	1.00
ENSMUSG00000036403	Cep135	-0.32	4.12	0.32	0.95
ENSMUSG00000036377	C530008M17Rik	-0.56	4.54	0.05	0.28
ENSMUSG00000083874	Gm7494	-3.38	-2.65	0.45	1.00
ENSMUSG00000055923	Aasdh	-0.70	3.13	0.06	0.35
ENSMUSG00000029246	Ppat	0.17	3.13	0.72	1.00
ENSMUSG00000029247	Paics	0.23	5.15	0.51	1.00
ENSMUSG00000036323	Srp72	0.10	7.06	0.77	1.00
ENSMUSG00000063820	Arl9	2.89	-2.66	0.65	1.00
ENSMUSG00000029248	Thegl	1.52	-2.89	1.00	1.00
ENSMUSG00000059325	Hopx	-0.05	5.89	0.99	1.00
ENSMUSG00000053030	Spink2	4.95	0.24	0.00	0.00
ENSMUSG00000029249	Rest	1.09	4.40	0.00	0.00
ENSMUSG00000036285	Noa1	-0.25	3.71	0.48	1.00
ENSMUSG00000029250	Polr2b	0.16	5.23	0.88	1.00
ENSMUSG00000036256	Igfbp7	1.78	5.78	0.00	0.00
ENSMUSG00000083829	Gm2199	0.43	0.73	0.56	1.00
ENSMUSG00000037605	Adgrl3	-0.20	6.97	0.56	1.00
ENSMUSG00000106926	Rpl7-ps7	0.44	7.15	0.03	0.20
ENSMUSG00000049537	Tecrl	-0.55	-1.18	0.84	1.00
ENSMUSG00000081822	Gm15626	3.50	-2.52	0.31	0.93
ENSMUSG00000106576	Gm4866	1.52	-2.89	1.00	1.00
ENSMUSG00000029245	Epha5	-0.52	7.10	0.01	0.06
ENSMUSG00000079067	Hmgn2-ps1	1.28	-1.02	0.37	1.00
ENSMUSG00000106598	Gm43532	-0.56	-0.12	0.62	1.00
ENSMUSG00000104878	Gm43567	-0.16	-2.16	1.00	1.00
ENSMUSG00000029253	Cenpc1	-0.34	4.20	0.31	0.93
ENSMUSG00000106282	Gm2287	1.39	-2.89	1.00	1.00
ENSMUSG00000029254	Stap1	1.24	0.48	0.32	0.95
ENSMUSG00000035898	Uba6	-0.35	5.53	0.14	0.59
ENSMUSG00000029255	Gnrhr	2.29	-1.67	0.04	0.26
ENSMUSG00000061259	Tmprss11d	2.59	-2.73	0.84	1.00
ENSMUSG00000072845	Tmprss11a	-1.51	-0.77	0.05	0.28
ENSMUSG00000105704	Gm43055	1.39	-2.89	1.00	1.00
ENSMUSG00000035851	Ythdc1	0.33	6.27	0.18	0.68
ENSMUSG00000029260	Ugt2b34	4.32	-2.23	0.07	0.38
ENSMUSG00000104802	Gm5869	0.44	-0.13	0.70	1.00
ENSMUSG00000035811	Ugt2b35	3.55	-2.52	0.33	0.96
ENSMUSG00000105315	Gm18635	1.39	-2.89	1.00	1.00
ENSMUSG00000105625	Gm31230	-0.82	-0.55	0.39	1.00
ENSMUSG00000054630	Ugt2b5	-0.18	-2.65	1.00	1.00
ENSMUSG00000057425	Ugt2b37	-0.52	-2.66	1.00	1.00
ENSMUSG00000105897	Gm7646	-0.52	-2.66	1.00	1.00
ENSMUSG00000104664	Gm35570	-0.30	-2.65	1.00	1.00
ENSMUSG00000029269	Sult1b1	-2.49	-2.80	0.84	1.00
ENSMUSG00000029273	Sult1d1	-0.75	-1.50	0.92	1.00
ENSMUSG00000029272	Sult1e1	0.85	-2.66	1.00	1.00
ENSMUSG00000105796	Gm42845	0.14	-0.98	1.00	1.00
ENSMUSG00000061388	Csn1s2b	-3.87	-2.51	0.55	1.00
ENSMUSG00000002240	Prr27	-3.63	-2.58	0.58	1.00
ENSMUSG00000067156	Gm7337	-0.45	-1.76	0.98	1.00
ENSMUSG00000001622	Csn3	0.89	-1.64	0.71	1.00
ENSMUSG00000007907	Cabs1	0.80	-2.27	1.00	1.00
ENSMUSG00000105905	Gm7709	-1.72	-2.88	1.00	1.00
ENSMUSG00000029282	Amtn	1.39	-2.89	1.00	1.00
ENSMUSG00000106633	Gm43431	1.51	-2.89	1.00	1.00
ENSMUSG00000105013	Gm7721	-2.95	-2.72	0.65	1.00
ENSMUSG00000029288	Ambn	-2.51	-2.80	0.88	1.00
ENSMUSG00000067149	Jchain	0.88	0.50	0.22	0.77
ENSMUSG00000070697	Utp3	0.19	6.13	0.57	1.00
ENSMUSG00000029291	Rufy3	-0.16	8.05	0.55	1.00
ENSMUSG00000044221	Grsf1	-0.05	6.61	0.98	1.00
ENSMUSG00000006262	Mob1b	0.47	4.66	0.15	0.62
ENSMUSG00000095524	Gm15682	-1.73	-2.88	1.00	1.00
ENSMUSG00000029366	Dck	0.79	4.21	0.02	0.15
ENSMUSG00000105640	Gm42912	-0.52	2.93	0.20	0.73
ENSMUSG00000082389	Mkrn1-ps1	1.39	-2.89	1.00	1.00
ENSMUSG00000060961	Slc4a4	-0.52	7.80	0.00	0.03
ENSMUSG00000106534	Gm6366	1.52	-2.89	1.00	1.00
ENSMUSG00000035528	Npffr2	-0.56	-2.33	1.00	1.00
ENSMUSG00000043635	Adamts3	-0.43	0.33	0.60	1.00
ENSMUSG00000043618	Eif5al3-ps	0.75	-1.97	0.83	1.00
ENSMUSG00000035505	Cox18	0.94	4.66	0.00	0.00
ENSMUSG00000055204	Ankrd17	-0.06	7.80	0.92	1.00
ENSMUSG00000054945	Gm9958	-0.77	0.28	0.52	1.00
ENSMUSG00000029368	Alb	1.32	-2.58	0.76	1.00
ENSMUSG00000054932	Afp	3.04	0.05	0.00	0.00
ENSMUSG00000070690	5830473C10Rik	-0.84	-2.58	1.00	1.00
ENSMUSG00000029370	Rassf6	-0.40	-0.21	0.84	1.00
ENSMUSG00000029371	Cxcl5	2.28	0.51	0.00	0.00
ENSMUSG00000029372	Ppbp	4.39	-2.27	0.19	0.70
ENSMUSG00000029373	Pf4	-0.71	1.16	0.15	0.61
ENSMUSG00000029379	Cxcl3	3.71	-1.66	0.02	0.12
ENSMUSG00000029380	Cxcl1	5.55	2.61	0.00	0.00
ENSMUSG00000058427	Cxcl2	5.72	3.20	0.00	0.00
ENSMUSG00000029376	Mthfd2l	-0.69	2.96	0.01	0.06
ENSMUSG00000035020	Epgn	4.13	-2.33	0.16	0.63
ENSMUSG00000029377	Ereg	5.83	-1.42	0.00	0.00
ENSMUSG00000029378	Areg	-1.00	-2.28	0.87	1.00
ENSMUSG00000107198	Gm19619	0.13	-1.93	1.00	1.00
